NOK_per_kWh,EUR_per_kWh,EXR,time_start,time_end
0.46548,0.0466,9.9888,2022-01-01T00:00:00+01:00,2022-01-01T01:00:00+01:00
0.41284,0.04133,9.9888,2022-01-01T01:00:00+01:00,2022-01-01T02:00:00+01:00
0.42133,0.04218,9.9888,2022-01-01T02:00:00+01:00,2022-01-01T03:00:00+01:00
0.4432,0.04437,9.9888,2022-01-01T03:00:00+01:00,2022-01-01T04:00:00+01:00
0.37628,0.03767,9.9888,2022-01-01T04:00:00+01:00,2022-01-01T05:00:00+01:00
0.39656,0.0397,9.9888,2022-01-01T05:00:00+01:00,2022-01-01T06:00:00+01:00
0.40545,0.04059,9.9888,2022-01-01T06:00:00+01:00,2022-01-01T07:00:00+01:00
0.43212,0.04326,9.9888,2022-01-01T07:00:00+01:00,2022-01-01T08:00:00+01:00
0.49385,0.04944,9.9888,2022-01-01T08:00:00+01:00,2022-01-01T09:00:00+01:00
0.49405,0.04946,9.9888,2022-01-01T09:00:00+01:00,2022-01-01T10:00:00+01:00
0.49215,0.04927,9.9888,2022-01-01T10:00:00+01:00,2022-01-01T11:00:00+01:00
0.48835,0.04889,9.9888,2022-01-01T11:00:00+01:00,2022-01-01T12:00:00+01:00
0.48396,0.04845,9.9888,2022-01-01T12:00:00+01:00,2022-01-01T13:00:00+01:00
0.4416,0.04421,9.9888,2022-01-01T13:00:00+01:00,2022-01-01T14:00:00+01:00
0.42333,0.04238,9.9888,2022-01-01T14:00:00+01:00,2022-01-01T15:00:00+01:00
0.42043,0.04209,9.9888,2022-01-01T15:00:00+01:00,2022-01-01T16:00:00+01:00
0.42253,0.0423,9.9888,2022-01-01T16:00:00+01:00,2022-01-01T17:00:00+01:00
0.40545,0.04059,9.9888,2022-01-01T17:00:00+01:00,2022-01-01T18:00:00+01:00
0.40065,0.04011,9.9888,2022-01-01T18:00:00+01:00,2022-01-01T19:00:00+01:00
0.38477,0.03852,9.9888,2022-01-01T19:00:00+01:00,2022-01-01T20:00:00+01:00
0.34671,0.03471,9.9888,2022-01-01T20:00:00+01:00,2022-01-01T21:00:00+01:00
0.32444,0.03248,9.9888,2022-01-01T21:00:00+01:00,2022-01-01T22:00:00+01:00
0.32843,0.03288,9.9888,2022-01-01T22:00:00+01:00,2022-01-01T23:00:00+01:00
0.32404,0.03244,9.9888,2022-01-01T23:00:00+01:00,2022-01-02T00:00:00+01:00
0.31994,0.03203,9.9888,2022-01-02T00:00:00+01:00,2022-01-02T01:00:00+01:00
0.31744,0.03178,9.9888,2022-01-02T01:00:00+01:00,2022-01-02T02:00:00+01:00
0.31764,0.0318,9.9888,2022-01-02T02:00:00+01:00,2022-01-02T03:00:00+01:00
0.31854,0.03189,9.9888,2022-01-02T03:00:00+01:00,2022-01-02T04:00:00+01:00
0.29527,0.02956,9.9888,2022-01-02T04:00:00+01:00,2022-01-02T05:00:00+01:00
0.31934,0.03197,9.9888,2022-01-02T05:00:00+01:00,2022-01-02T06:00:00+01:00
0.31625,0.03166,9.9888,2022-01-02T06:00:00+01:00,2022-01-02T07:00:00+01:00
0.32244,0.03228,9.9888,2022-01-02T07:00:00+01:00,2022-01-02T08:00:00+01:00
0.32893,0.03293,9.9888,2022-01-02T08:00:00+01:00,2022-01-02T09:00:00+01:00
0.36269,0.03631,9.9888,2022-01-02T09:00:00+01:00,2022-01-02T10:00:00+01:00
0.37248,0.03729,9.9888,2022-01-02T10:00:00+01:00,2022-01-02T11:00:00+01:00
0.37458,0.0375,9.9888,2022-01-02T11:00:00+01:00,2022-01-02T12:00:00+01:00
0.37448,0.03749,9.9888,2022-01-02T12:00:00+01:00,2022-01-02T13:00:00+01:00
0.37448,0.03749,9.9888,2022-01-02T13:00:00+01:00,2022-01-02T14:00:00+01:00
0.36929,0.03697,9.9888,2022-01-02T14:00:00+01:00,2022-01-02T15:00:00+01:00
0.3591,0.03595,9.9888,2022-01-02T15:00:00+01:00,2022-01-02T16:00:00+01:00
0.34991,0.03503,9.9888,2022-01-02T16:00:00+01:00,2022-01-02T17:00:00+01:00
0.33173,0.03321,9.9888,2022-01-02T17:00:00+01:00,2022-01-02T18:00:00+01:00
